58,食費,エ－コ－プ　マチカドバタケテン
59,医療費,歯医者
60,旅費交通費,ラクテントラベル　コクナイシュクハク
61,旅費交通費,エキネツト
62,接待交際費,トウキヨウエキグランスタ
63,食費,エキベンヤ　シンカンセンミナミノリカエ
64,接待交際費,タカトリ　ニシウメダテン
65,接待交際費,マサキヤ　ナンバテン
66,接待交際費,フアニーチケツト
67,消耗品,ドン　キホ－テ　ウメダホンテン
68,接待交際費,タイシユウサカバ　ナガハマ
69,接待交際費,ヘツプフアイブ
70,食費,ペイペイ　セブンイレブン
71,接待交際費,キンカクジバイテン　ホンテン
72,接待交際費,アステイキヨウト　アステイシンオオサカ
73,接待交際費,ナエバスキ－ジヨウ
74,食費,マクドナルド
75,消耗品,ユニクロ
76,消耗品,ユニクロ　ジ－ユ－　プラステオンライ
77,食費,ケンタツキ－フライドチキン
78,食費,ペイペイ　ハイデイヒダカ
79,食費,ペイペイ　ローソン
80,水道・ガス・光熱費,水道代
81,食費,イオンタウン
82,食費,ＦＳカスミヒガシナラシノテン
83,消耗品,ユニクロ ジ−ユ− プラステオンライ
84,接待交際費,ヨリドリ
85,食費,ココス
86,節税関係,クラシキシフルサトノウゼイ
87,通信費,ソフトバンクＭ（０３ガツ）
88,返済,返済関係
89,消耗品,ブックオフ
90,食費,なりくん米
91,水道・ガス・光熱費,キヨタガス
92,食費,ビツグボ−イ
93,食費,マルエツヒガシナラシノテン
94,消耗品,ヤマダデンキ テツクフナバシテン
95,消耗品,メガドン キホ−テ ナラシノテン
96,食費,吉野家
97,食費,ペイペイ マルエツ
98,食費,ペイペイ ファミリーマート
99,通信費,ソフトバンクＭ（０４ガツ）
100,旅費交通費,京成大久保〜渋谷
101,消耗品,免許更新
102,消耗品,印刷代
103,旅費交通費,シユンジユウコウクウニホンカブシキカ
104,食費,ペイペイ　カスミ
105,消耗品,ＴＢＣ
106,食費,ＡＭＡＺＯＮ．ＣＯ．ＪＰプロテイン
107,医療費,実籾外科
108,通信費,ラクテングル−プデンワサ−ビス
109,食費,イチカクヤシブヤセンターテン
110,食費,ペイペイ　ヨシノヤ
111,旅費交通費,モバイルパスモチヤ−ジ
112,食費,ＡＭＡＺＯＮ．ＣＯ．ＪＰブルーベリー
113,水道・ガス・光熱費,下水道
114,水道・ガス・光熱費,水道
115,医療費,サンノウケンシンセンタ−
116,接待交際費,デイオ−ルコウシキオンラインブテイツ
117,旅費交通費,ホテルモテイ
118,接待交際費,テケテケ　シブヤウダガワチヨウテン
119,接待交際費,ワインバ−ヒロ
120,食費,ラーメン
121,旅費交通費,ジユウクウカンシブヤドウゲンザ
122,旅費交通費,天然温泉凌雲の湯 御宿野乃浅草
123,接待交際費,ＡＰＰＬＥ ＣＯＭ ＢＩＬＬ：with
124,接待交際費,ギンザスリ−ハンドレツドバ−コ
125,接待交際費,フェスバイアソビ
126,接待交際費,達也のみ
127,接待交際費,カンゼンコシツ　フナバシガ−デン
128,接待交際費,ラインギフト
129,食費,ロ−ソン　ＬＡＷ　マルノウチナカドオリ
130,接待交際費,ポルタ
131,接待交際費,メレンゲミナトミライテン
132,食費,佐賀ランチ
133,食費,maru
134,接待交際費,米寿旅行
135,医療費,病院
136,旅費交通費,ジエイテイ−ビ−ジエイビ−アイト
137,通信費,ソフトバンクＭ（０６ガツ）
138,接待交際費,カタマリ　ミ−トバルギンザテン
139,接待交際費,マルゴシンバシ
140,接待交際費,トウキヨウエキクロカベヨコチヨウ
141,接待交際費,ナリタコクサイクウコウタ−ミナル
142,食費,ドンキホーテサガテン（ヒショクヒン）
143,食費,ユメタウン　サガ
144,旅費交通費,ＥＮＥＯＳ　ＳＳ
145,食費,スシロ−　テイクアウト
146,食費,ス−パ−スポ−ツゼビオ　ユメタウ
147,接待交際費,ラクテンペイ　サガマド
148,食費,ペイペイ　ティーワンズバーガー
149,食費,ロ−ソン　ＬＡＷ　クルメニシマチ
150,接待交際費,トリヤマルハチサガホンジヨウテン
151,接待交際費,ムラオカヤ　ミズガエテン
